Age,Incidence,Mortality,Type,Sex,Var(log) Incidence
0,76,41,Stomach,Male,1.41
5,65,34,Stomach,Male,1.41
10,55,30,Stomach,Male,1.41
15,46,25,Stomach,Male,1.41
20,40,21,Stomach,Male,1.41
30,28,16,Stomach,Male,1.41
40,27,15,Stomach,Male,1.41
50,25,13,Stomach,Male,1.41
60,20,11,Stomach,Male,1.41
70,14,8,Stomach,Male,1.41
80,7,4,Stomach,Male,1.41
0,336,163,Colon,Male,0.19
5,285,139,Colon,Male,0.19
10,241,117,Colon,Male,0.19
15,204,99,Colon,Male,0.19
20,173,84,Colon,Male,0.19
30,125,61,Colon,Male,0.19
40,122,60,Colon,Male,0.19
50,113,57,Colon,Male,0.19
60,94,49,Colon,Male,0.19
70,65,36,Colon,Male,0.19
80,30,21,Colon,Male,0.19
0,61,44,Liver,Male,0.96
5,50,37,Liver,Male,0.96
10,43,31,Liver,Male,0.96
15,36,27,Liver,Male,0.96
20,30,23,Liver,Male,0.96
30,22,16,Liver,Male,0.96
40,21,16,Liver,Male,0.96
50,19,14,Liver,Male,0.96
60,14,12,Liver,Male,0.96
70,8,8,Liver,Male,0.96
80,3,4,Liver,Male,0.96
0,314,318,Lung,Male,0.55
5,261,264,Lung,Male,0.26
10,216,219,Lung,Male,0.26
15,180,182,Lung,Male,0.26
20,149,151,Lung,Male,0.26
30,105,107,Lung,Male,0.26
40,104,107,Lung,Male,0.26
50,101,104,Lung,Male,0.26
60,89,93,Lung,Male,0.26
70,65,71,Lung,Male,0.26
80,34,42,Lung,Male,0.26
0,93,17,Prostate,Male,0.00
5,80,15,Prostate,Male,0.00
10,67,12,Prostate,Male,0.00
15,57,10,Prostate,Male,0.00
20,48,9,Prostate,Male,0.00
30,35,7,Prostate,Male,0.00
40,35,6,Prostate,Male,0.00
50,33,7,Prostate,Male,0.00
60,26,7,Prostate,Male,0.00
70,14,7,Prostate,Male,0.00
80,5,5,Prostate,Male,0.00
0,209,45,Bladder,Male,0.39
5,177,38,Bladder,Male,0.39
10,150,32,Bladder,Male,0.39
15,127,27,Bladder,Male,0.39
20,108,23,Bladder,Male,0.39
30,79,17,Bladder,Male,0.39
40,79,17,Bladder,Male,0.39
50,76,17,Bladder,Male,0.39
60,66,17,Bladder,Male,0.39
70,47,15,Bladder,Male,0.39
80,23,10,Bladder,Male,0.39
0,1123,400,Other solid,Male,0.19
5,672,255,Other solid,Male,0.19
10,503,200,Other solid,Male,0.19
15,394,162,Other solid,Male,0.19
20,312,134,Other solid,Male,0.19
30,198,94,Other solid,Male,0.19
40,172,88,Other solid,Male,0.19
50,140,77,Other solid,Male,0.19
60,98,58,Other solid,Male,0.19
70,57,36,Other solid,Male,0.19
80,23,17,Other solid,Male,0.19
0,115,0,Thyroid,Male,0.00
5,76,0,Thyroid,Male,0.00
10,50,0,Thyroid,Male,0.00
15,33,0,Thyroid,Male,0.00
20,21,0,Thyroid,Male,0.00
30,9,0,Thyroid,Male,0.00
40,3,0,Thyroid,Male,0.00
50,1,0,Thyroid,Male,0.00
60,0.3,0,Thyroid,Male,0.00
70,0.1,0,Thyroid,Male,0.00
80,0,0,Thyroid,Male,0.00
0,2326,1028,All solid,Male,0.12
5,1667,781,All solid,Male,0.12
10,1325,641,All solid,Male,0.12
15,1076,533,All solid,Male,0.12
20,881,444,All solid,Male,0.12
30,602,317,All solid,Male,0.12
40,564,310,All solid,Male,0.12
50,507,289,All solid,Male,0.12
60,407,246,All solid,Male,0.12
70,270,181,All solid,Male,0.12
80,126,102,All solid,Male,0.12
0,237,71,Leukemia,Male,0.32
5,149,71,Leukemia,Male,0.32
10,120,71,Leukemia,Male,0.32
15,105,70,Leukemia,Male,0.32
20,96,67,Leukemia,Male,0.32
30,84,64,Leukemia,Male,0.32
40,84,67,Leukemia,Male,0.32
50,84,71,Leukemia,Male,0.32
60,82,73,Leukemia,Male,0.32
70,73,69,Leukemia,Male,0.32
80,48,51,Leukemia,Male,0.32
0,2563,1099,All cancers,Male,0.12
5,1816,852,All cancers,Male,0.12
10,1445,712,All cancers,Male,0.12
15,1182,603,All cancers,Male,0.12
20,977,511,All cancers,Male,0.12
30,686,381,All cancers,Male,0.12
40,648,377,All cancers,Male,0.12
50,591,360,All cancers,Male,0.12
60,489,319,All cancers,Male,0.12
70,343,250,All cancers,Male,0.12
80,174,153,All cancers,Male,0.12
0,101,57,Stomach,Female,1.28
5,85,48,Stomach,Female,1.28
10,72,41,Stomach,Female,1.28
15,61,34,Stomach,Female,1.28
20,52,29,Stomach,Female,1.28
30,36,21,Stomach,Female,1.28
40,35,20,Stomach,Female,1.28
50,32,19,Stomach,Female,1.28
60,27,16,Stomach,Female,1.28
70,19,13,Stomach,Female,1.28
80,11,8,Stomach,Female,1.28
0,220,102,Colon,Female,0.28
5,187,86,Colon,Female,0.28
10,158,73,Colon,Female,0.28
15,134,62,Colon,Female,0.28
20,114,53,Colon,Female,0.28
30,82,38,Colon,Female,0.28
40,79,37,Colon,Female,0.28
50,73,35,Colon,Female,0.28
60,62,31,Colon,Female,0.28
70,45,25,Colon,Female,0.28
80,23,15,Colon,Female,0.28
0,28,24,Liver,Female,1.48
5,23,20,Liver,Female,1.48
10,20,17,Liver,Female,1.48
15,16,14,Liver,Female,1.48
20,14,12,Liver,Female,1.48
30,10,9,Liver,Female,1.48
40,10,8,Liver,Female,1.48
50,9,8,Liver,Female,1.48
60,7,7,Liver,Female,1.48
70,5,5,Liver,Female,1.48
80,2,3,Liver,Female,1.48
